Starogard Gdański,47272
Puławy,46965
Tarnobrzeg,46360
Kołobrzeg,46198
Krosno,45948
Radomsko,45353
Dębica,45189
Otwock,44317
Skarżysko-Kamienna,44260
Ciechanów,43883
Nysa,43356
Kutno,43332
Sieradz,41390
Zduńska Wola,41288
Mikołów,41003
Świnoujście,40948
Mińsk Mazowiecki,40916
Szczecinek,39827
Chojnice,39647
Żyrardów,39550
Świdnik,38763
Ząbki,38546
Bolesławiec,38486
Kwidzyn,38329
Nowa Sól,38191
Malbork,38101
Knurów,37801
Oświęcim,37569
Jarosław,37073
Żary,37052
Sanok,36999
Oleśnica,36979
Wołomin,36848
Marki,36816
Chrzanów,36118
Sochaczew,35891
Czechowice-Dziedzice,35839
Sopot,35286
Brzeg,35226
Lębork,35101
Olkusz,34757
Jasło,34542
Cieszyn,33981
Kraśnik,33917
Nowy Targ,33257
Iława,33206
Oława,33087
Dzierżoniów,32869
Ostróda,32714
Grodzisk Mazowiecki,32452
Police,32243
Luboń,32015
Pruszcz Gdański,31578
Myszków,31261
Mława,31129
Czeladź,31039
Września,31000
Żywiec,30733
Augustów,29946
Swarzędz,29862
Zgorzelec,29810
Bochnia,29554
Bielawa,29523
Łuków,29441
Śrem,29176
Giżycko,28964
Brodnica,28701
Krotoszyn,28701
Nowy Dwór Mazowiecki,28691
Łowicz,27896
Czerwionka-Leszczyny,27888
Wyszków,26980
Gorlice,26973
Zakopane,26846
Kętrzyn,26788
Reda,26707
Jarocin,26453
Turek,26441
Kłodzko,26421
Biłgoraj,26114
Pszczyna,25702
Wągrowiec,25607
Świecie,25486
Żagań,25265
Kobyłka,25149
Bielsk Podlaski,25044
Wałcz,24949
Skawina,24366
Wieliczka,24215
Białogard,23950
Kościerzyna,23778
Kościan,23716
Środa Wielkopolska,23672
Lubliniec,23551
Kluczbork,23254
Sandomierz,22997
Bartoszyce,22984
Szczytno,22813
Świebodzice,22642
Piastów,22559
Jawor,22462
Polkowice,22435
Ostrów Mazowiecka,22216
Łaziska Górne,22130
Goleniów,21979
Płońsk,21924
Zambrów,21921
Wieluń,21892
Aleksandrów Łódzki,21754
Grajewo,21709
Nowa Ruda,21643
Lubartów,21636
Świebodzin,21550
Rydułtowy,21385
Mrągowo,21302
Orzesze,21290
Koło,21247
Działdowo,21145
Gryfino,20923
Opoczno,20746
Józefów,20741
Lubań,20723
Prudnik,20671
Hajnówka,20265
Gostyń,20250
Rawicz,20187
